id,source,ambientTemp,latitude,longitude,time
2WWSMBPQCO0Yg5xlzruFg8AiNN0,dimo/integration/26A5Dk3vvvQutjSyF0Jka2DP5lg,29,34.2,-118.58,2023-10-09T10:19:52.727Z
2WWPo6ozV3CieIQmYsJoQztwd2a,,24,38.61,-9.11,2023-10-09T09:58:54.438Z
2WWPnxQU3XlSl5jK7WfiYYf52GO,,19.5,36.09,-87,2023-10-09T09:58:53.439Z
2WWPnpzYRpq8TQGgcu4gYWN40z9,,27.5,28.47,-81.58,2023-10-09T09:58:52.655Z
2WWPoJ0CE0swGrC3om659bl4zKw,,10,35.8,-78.74,2023-10-09T09:58:55.593Z
2WWPo80MXZrMtvTD7VZLb7TUtNn,,21.5,34.21,-119.03,2023-10-09T09:58:54.959Z
2WWPnptfbybMo9osHd1PgB0rA8Z,,26,34.14,-118.05,2023-10-09T09:58:52.928Z
2WWPoEE3nQPVoBGYGHWSik39BkA,,14,49.89,-119.43,2023-10-09T09:58:55.395Z
2WWPnqn6F7L4yFvxKxEOafFPStS,,16.5,34.04,-118.54,2023-10-09T09:58:52.931Z
2WWPoAVoKLdFORcHzW2hiiaHddF,,4,60.26,5.24,2023-10-09T09:58:54.959Z
2WWPoE6K4IPUTYpdB8zQbMzR6fP,,30,33.93,-117.86,2023-10-09T09:58:55.597Z
2WWPoGVXEtIz70F1jbzsu2UgfPA,,19.5,40.85,-74.5,2023-10-09T09:58:55.948Z
2WWPoCiHR3p7EyIyfn4voEgADh0,,26,33.85,-117.57,2023-10-09T09:58:55.483Z
2WWPnusBmXePKVNI566RrdFHmoz,,29.5,34.2,-118.58,2023-10-09T09:58:52.655Z
2WWPoFRSe3HK7OKhMYA0JzxdI7F,,26,38.18,-0.97,2023-10-09T09:58:55.948Z
2WWPoBNxeLOFdjuP15Wpg5tS7vG,,22,35.36,-119.07,2023-10-09T09:58:54.964Z
2WWPoQSatQAFFXH4KRu4W2H6MOz,,11.5,41.79,-87.7,2023-10-09T09:58:56.43Z
2WWPoLbkBjrqp9Szf9PGPl0WIup,,9.5,45.44,-73.69,2023-10-09T09:58:56.208Z
2WWPoD7TcEHJqzJRcixgfKToLXY,,24,41.61,2.13,2023-10-09T09:58:55.484Z
2WWPoNhz9npldNZxAaRBTHvt1Vu,,18,49.23,9.17,2023-10-09T09:58:56.43Z
